WORD	FREQ	JACCARD SIMILARITY
wwwparkinsonsorguk	1.0	0.0019723865877712033
zoom	1.0	7.363770250368188E-4
religion	1.0	1.9353590090961874E-4
generation	1.0	1.4932059130954157E-4
moran	1.0	0.0015698587127158557
easing	1.0	0.0018587360594795538
massive	1.0	2.572678157962439E-4
cycling	1.0	4.6860356138706655E-4
prorata	1.0	0.0017035775127768314
maintain	1.0	7.608612949859241E-5
stayfentonhillfarmcouk	1.0	0.0019801980198019802
antoine	1.0	0.0017857142857142857
nation	1.0	1.6281341582546403E-4
wwwcroghanhillcom	1.0	0.0019801980198019802
swallow	1.0	7.457121551081282E-4
wmanagementchilterngovuk	1.0	0.001976284584980237
wiltshire	1.0	7.535795026375283E-4
marmion	1.0	0.0019120458891013384
die	1.0	7.597052343690648E-5
faxes	1.0	0.0019267822736030828
tng	1.0	0.0018587360594795538
broughton	1.0	0.0013986013986013986
streetcare	1.0	0.0019723865877712033
tresco	1.0	0.0017211703958691911
infoiwcollegeacuk	1.0	0.0019801980198019802
crown	1.0	2.440214738897023E-4
leach	1.0	0.0013812154696132596
dnoticehotmailcom	1.0	0.0019801980198019802
ruairidh	1.0	0.0019646365422396855
derbyshire	1.0	6.548788474132286E-4
macdonald	1.0	8.176614881439084E-4
seasonto	1.0	0.0019801980198019802
santiago	1.0	0.001394700139470014
lake	1.0	2.1915406530791147E-4
hunting	1.0	4.8449612403100775E-4
sundorne	1.0	0.0019455252918287938
pest	1.0	7.656967840735069E-4
athttpwwwhsegovukpubnsindgpdf	1.0	0.0019801980198019802
boxthe	1.0	0.001976284584980237
physically	1.0	5.491488193300384E-4
lack	1.0	1.0737678513905293E-4
logic	1.0	4.088307440719542E-4
sb	1.0	8.47457627118644E-4
architect	1.0	4.470272686633885E-4
donnington	1.0	0.001834862385321101
archivist	1.0	0.0013717421124828531
northamptonshiregovuk	1.0	0.001976284584980237
woman	1.0	4.783087004352609E-5
nonmember	1.0	0.0011641443538998836
europeonthemovelivegroupcouk	1.0	0.0019801980198019802
neurosurgical	1.0	0.001893939393939394
rr	1.0	0.0012121212121212121
orford	1.0	0.0018281535648994515
mta	1.0	0.0018115942028985507
impact	1.0	7.212925562608193E-5
comparative	1.0	5.50357732526142E-4
tea	1.0	2.2578460149017836E-4
admiralty	1.0	0.0013966480446927375
exec	1.0	0.0012165450121654502
artts	1.0	0.0019723865877712033
perception	1.0	2.992220227408737E-4
bonnybridge	1.0	0.0019342359767891683
caerphilly	1.0	0.0016155088852988692
falconry	1.0	0.0016207455429497568
alternatively	1.0	3.1055900621118014E-4
catch	1.0	1.2181751735899622E-4
kerala	1.0	0.0017667844522968198
costanalysis	1.0	0.001976284584980237
substantial	1.0	2.3512814483893723E-4
businesses	1.0	0.001697792869269949
speaker	1.0	1.714971702966901E-4
toy	1.0	2.9239766081871346E-4
ethic	1.0	5.091649694501018E-4
wwwpolymerreprocessorscouk	1.0	0.0019801980198019802
boroughs	1.0	0.0015174506828528073
campaign	1.0	8.136034496786266E-5
westcliffonsea	1.0	0.001953125
dee	1.0	0.0010515247108307045
flow	1.0	1.449905756125852E-4
henryjodrellbroadskillcom	1.0	0.0019801980198019802
rupert	1.0	0.0010799136069114472
tom	1.0	2.0751193193608634E-4
dispatch	1.0	8.071025020177562E-4
expiry	1.0	0.0010822510822510823
instruction	1.0	1.6680567139282736E-4
billybluebugtv	1.0	0.0019801980198019802
braodcast	1.0	0.001976284584980237
hospitality	1.0	5.470459518599562E-4
southerly	1.0	0.0015822784810126582
wwwinsightcommercialvideocouk	1.0	0.0019801980198019802
arielmimasacuk	1.0	0.0019801980198019802
rp	1.0	0.0014084507042253522
partnersthe	1.0	0.001976284584980237
blairgowrie	1.0	0.0017889087656529517
slightly	1.0	1.863238308179616E-4
billy	1.0	5.485463521667581E-4
dissertation	1.0	4.786979415988511E-4
osnburgh	1.0	0.0019801980198019802
newham	1.0	0.0013531799729364006
ihrcdialpipexcom	1.0	0.0019646365422396855
promptly	1.0	7.31528895391368E-4
hants	1.0	0.0015723270440251573
wilma	1.0	0.0017953321364452424
stafford	1.0	0.0010695187165775401
selfmanage	1.0	0.0019157088122605363
briggs	1.0	0.001303780964797914
rn	1.0	0.0011737089201877935
booth	1.0	8.64304235090752E-4
macrides	1.0	0.0019801980198019802
syracuse	1.0	0.0018315018315018315
corran	1.0	0.001893939393939394
rm	1.0	0.0010
collegeemail	1.0	0.0019801980198019802
success	1.0	7.469933517591694E-5
ftel	1.0	0.0019646365422396855
ambo	1.0	0.0018796992481203006
dishwasher	1.0	0.0010438413361169101
wwwarttsintcouk	1.0	0.0019801980198019802
offers	1.0	8.896797153024911E-4
rj	1.0	0.0012547051442910915
tps	1.0	0.0017421602787456446
equip	1.0	2.975304968759298E-4
kingswood	1.0	0.001658374792703151
cathy	1.0	0.0010090817356205853
technical	1.0	1.0438413361169103E-4
facilitation	1.0	0.001326259946949602
tim	1.0	2.994011976047904E-4
physician	1.0	7.331378299120235E-4
participationquality	1.0	0.0019801980198019802
rf	1.0	0.0010245901639344263
oundle	1.0	0.0017953321364452424
jstor	1.0	0.0017574692442882249
brew	1.0	0.0010649627263045794
burden	1.0	4.192872117400419E-4
propose	1.0	9.671179883945841E-5
undergo	1.0	4.2354934349851756E-4
basis	1.0	7.69941484447182E-5
rock	1.0	1.224739742804654E-4
rnid	1.0	0.0017271157167530224
warnings	1.0	0.0017730496453900709
freepost	1.0	0.0016420361247947454
vehicles	1.0	0.0011723329425556857
qun	1.0	0.0019801980198019802
